0.324000	0.000038	
0.648000	0.000151	
0.972000	0.000340	
1.296000	0.000605	
1.620000	0.000945	
1.944000	0.001361	
2.268000	0.001853	
2.592000	0.002420	
2.916000	0.003063	
3.240000	0.003782	
3.564000	0.004576	
3.888000	0.005446	
4.212000	0.006392	
4.536000	0.007413	
4.860000	0.008510	
5.184000	0.009683	
5.508000	0.010932	
5.832000	0.012256	
6.156000	0.013656	
6.480000	0.015132	
6.804000	0.016683	
7.128000	0.018311	
7.452000	0.020014	
7.776000	0.021793	
8.100000	0.023648	
8.424000	0.025578	
8.748000	0.027585	
9.072000	0.029667	
9.396000	0.031825	
9.720000	0.034059	
10.044000	0.036370	
10.368000	0.038756	
10.692000	0.041218	
11.016000	0.043756	
11.340000	0.046370	
11.664000	0.049060	
11.988000	0.051826	
12.312000	0.054669	
12.636000	0.057587	
12.960000	0.060582	
13.284000	0.063652	
13.608000	0.066799	
13.932000	0.070022	
14.256000	0.073322	
14.580000	0.076697	
14.904000	0.080149	
15.228000	0.083678	
15.552000	0.087282	
15.876000	0.090963	
16.200000	0.094721	
16.524000	0.098555	
16.848000	0.102465	
17.172000	0.106452	
17.496000	0.110516	
17.820000	0.114656	
18.144000	0.118873	
18.468000	0.123167	
18.792000	0.127537	
19.116000	0.131984	
19.440000	0.136507	
19.764000	0.141108	
20.088000	0.145785	
20.412000	0.150540	
20.736000	0.155371	
21.060000	0.160279	
21.384000	0.165265	
21.708000	0.170327	
22.032000	0.175467	
22.356000	0.180683	
22.680000	0.185977	
23.004000	0.191348	
23.328000	0.196797	
23.652000	0.202323	
23.976000	0.207926	
24.300000	0.213607	
24.624000	0.219365	
24.948000	0.225201	
25.272000	0.231114	
25.596000	0.237105	
25.920000	0.243174	
26.244000	0.249321	
26.568000	0.255545	
26.892000	0.261847	
27.216000	0.268227	
27.540000	0.274686	
27.864000	0.281222	
28.188000	0.287836	
28.512000	0.294529	
28.836000	0.301299	
29.160000	0.308148	
29.484000	0.315076	
29.808000	0.322082	
30.132000	0.329166	
30.456000	0.336329	
30.780000	0.343570	
31.104000	0.350890	
31.428000	0.358289	
31.752000	0.365767	
32.076000	0.373323	
32.400000	0.380959	
32.724000	0.388673	
33.048000	0.396467	
33.372000	0.404339	
33.696000	0.412291	
34.020000	0.420323	
34.344000	0.428433	
34.668000	0.436623	
34.992000	0.444893	
35.316000	0.453242	
35.640000	0.461671	
35.964000	0.470179	
36.288000	0.478768	
36.612000	0.487436	
36.936000	0.496185	
37.260000	0.505013	
37.584000	0.513922	
37.908000	0.522910	
38.232000	0.531980	
38.556000	0.541129	
38.880000	0.550359	
39.204000	0.559670	
39.528000	0.569061	
39.852000	0.578533	
40.176000	0.588086	
40.500000	0.597720	
40.824000	0.607434	
41.148000	0.617230	
41.472000	0.627107	
41.796000	0.637066	
42.120000	0.647106	
42.444000	0.657227	
42.768000	0.667430	
43.092000	0.677714	
43.416000	0.688080	
43.740000	0.698529	
44.064000	0.709059	
44.388000	0.719671	
44.712000	0.730365	
45.036000	0.741142	
45.360000	0.752001	
45.684000	0.762942	
46.008000	0.773966	
46.332000	0.785073	
46.656000	0.796262	
46.980000	0.807534	
47.304000	0.818890	
47.628000	0.830328	
47.952000	0.841850	
48.276000	0.853455	
48.600000	0.865143	
48.924000	0.876915	
49.248000	0.888770	
49.572000	0.900710	
49.896000	0.912733	
50.220000	0.924840	
50.544000	0.937031	
50.868000	0.949306	
51.192000	0.961666	
51.516000	0.974110	
51.840000	0.986639	
52.164000	0.999252	
52.488000	1.011951	
52.812000	1.024734	
53.136000	1.037602	
53.460000	1.050555	
53.784000	1.063593	
54.108000	1.076717	
54.432000	1.089927	
54.756000	1.103222	
55.080000	1.116603	
55.404000	1.130069	
55.728000	1.143622	
56.052000	1.157261	
56.376000	1.170986	
56.700000	1.184797	
57.024000	1.198695	
57.348000	1.212679	
57.672000	1.226751	
57.996000	1.240909	
58.320000	1.255154	
58.644000	1.269486	
58.968000	1.283905	
59.292000	1.298412	
59.616000	1.313006	
59.940000	1.327688	
60.264000	1.342458	
60.588000	1.357316	
60.912000	1.372261	
61.236000	1.387295	
61.560000	1.402385	
61.884000	1.417530	
62.208000	1.432763	
62.532000	1.448083	
62.856000	1.463492	
63.180000	1.479027	
63.504000	1.494671	
63.828000	1.510516	
64.152000	1.526537	
64.476000	1.542652	
64.800000	1.558751	
65.124000	1.574856	
65.448000	1.591004	
65.772000	1.607204	
66.096000	1.623495	
66.420000	1.639824	
66.744000	1.656200	
67.068000	1.672569	
67.392000	1.688834	
67.716000	1.705156	
68.040000	1.721532	
68.364000	1.737967	
68.688000	1.754490	
69.012000	1.771100	
69.336000	1.787755	
69.660000	1.804464	
69.984000	1.821224	
70.308000	1.838009	
70.632000	1.854853	
70.956000	1.871784	
71.280000	1.888802	
71.604000	1.905851	
71.928000	1.922889	
72.252000	1.939973	
72.576000	1.957145	
72.900000	1.974601	
73.224000	1.992244	
73.548000	2.010063	
73.872000	2.028130	
74.196000	2.046398	
74.520000	2.064778	
74.844000	2.083200	
75.168000	2.101681	
75.492000	2.120256	
75.816000	2.138925	
76.140000	2.157689	
76.464000	2.176546	
76.788000	2.195499	
77.112000	2.214546	
77.436000	2.233688	
77.760000	2.252924	
78.084000	2.272256	
78.408000	2.291683	
78.732000	2.311204	
79.056000	2.330821	
79.380000	2.350532	
79.704000	2.370339	
80.028000	2.390242	
80.352000	2.410216	
80.676000	2.430274	
81.000000	2.450399	
81.324000	2.470650	
81.648000	2.490997	
81.972000	2.511439	
82.296000	2.532026	
82.620000	2.552708	
82.944000	2.573489	
83.268000	2.594365	
83.592000	2.615336	
83.916000	2.636404	
84.240000	2.657567	
84.564000	2.678825	
84.888000	2.700161	
85.212000	2.721627	
85.536000	2.743384	
85.860000	2.765359	
86.184000	2.787422	
86.508000	2.809583	
86.832000	2.831848	
87.156000	2.854205	
87.480000	2.876673	
87.804000	2.899217	
88.128000	2.921865	
88.452000	2.944667	
88.776000	2.967562	
89.100000	2.990723	
89.424000	3.014011	
89.748000	3.037486	
90.072000	3.061180	
90.396000	3.084995	
90.720000	3.109065	
91.044000	3.133256	
91.368000	3.157511	
91.692000	3.181886	
92.016000	3.206347	
92.340000	3.230913	
92.664000	3.255593	
92.988000	3.280370	
93.312000	3.305243	
93.636000	3.330211	
93.960000	3.355271	
94.284000	3.380465	
94.608000	3.405741	
94.932000	3.431183	
95.256000	3.456818	
95.580000	3.482566	
95.904000	3.508474	
96.228000	3.534428	
96.552000	3.560443	
96.876000	3.586661	
97.200000	3.612943	
97.524000	3.639322	
97.848000	3.665782	
98.172000	3.692322	
98.496000	3.718973	
98.820000	3.745769	
99.144000	3.772845	
99.468000	3.799967	
99.792000	3.827145	
100.116000	3.854392	
